,zip,deed_date,price_paid
0,BR1,2000-01-01,188510.88235294117
1,BR1,2000-02-01,166975.0606060606
2,BR1,2000-03-01,166774.31818181818
3,BR1,2000-04-01,184542.52808988764
4,BR1,2000-05-01,164167.56578947368
5,BR1,2000-06-01,181809.62121212122
6,BR1,2000-07-01,184954.5975609756
7,BR1,2000-08-01,196793.84615384616
8,BR1,2000-09-01,183029.3137254902
9,BR1,2000-10-01,146346.54237288135
10,BR1,2000-11-01,179883.4328358209
11,BR1,2000-12-01,157578.4814814815
12,BR1,2001-01-01,207478.5283018868
13,BR1,2001-02-01,189995.45454545456
14,BR1,2001-03-01,213111.75789473683
15,BR1,2001-04-01,178452.8431372549
16,BR1,2001-05-01,189863.83333333334
17,BR1,2001-06-01,173522.67045454544
18,BR1,2001-07-01,187611.4025974026
19,BR1,2001-08-01,208478.4065934066
20,BR1,2001-09-01,199864.0909090909
21,BR1,2001-10-01,187232.27848101265
22,BR1,2001-11-01,198268.17647058822
23,BR1,2001-12-01,202974.89361702127
24,BR1,2002-01-01,195444.11764705883
25,BR1,2002-02-01,219150.0
26,BR1,2002-03-01,194113.7435897436
27,BR1,2002-04-01,215636.54639175258
28,BR1,2002-05-01,211584.11290322582
29,BR1,2002-06-01,231111.35869565216
30,BR1,2002-07-01,213169.4065934066
31,BR1,2002-08-01,240920.64655172414
32,BR1,2002-09-01,229915.05376344087
33,BR1,2002-10-01,237977.1375
34,BR1,2002-11-01,226433.9255319149
35,BR1,2002-12-01,208491.28048780488
36,BR1,2003-01-01,245587.36111111112
37,BR1,2003-02-01,241985.19607843139
38,BR1,2003-03-01,231179.63768115942
39,BR1,2003-04-01,274469.8656716418
40,BR1,2003-05-01,233014.4871794872
41,BR1,2003-06-01,236218.46875
42,BR1,2003-07-01,267410.29411764705
43,BR1,2003-08-01,252035.54455445544
44,BR1,2003-09-01,261870.5172413793
45,BR1,2003-10-01,262326.0641025641
46,BR1,2003-11-01,255531.88888888888
47,BR1,2003-12-01,233893.31578947368
48,BR1,2004-01-01,260990.66176470587
49,BR1,2004-02-01,272423.8
50,BR1,2004-03-01,260159.02597402598
51,BR1,2004-04-01,263272.42307692306
52,BR1,2004-05-01,301249.8076923077
53,BR1,2004-06-01,253396.8085106383
54,BR1,2004-07-01,240399.42105263157
55,BR1,2004-08-01,270468.4931506849
56,BR1,2004-09-01,292572.6904761905
57,BR1,2004-10-01,280926.3157894737
58,BR1,2004-11-01,288154.537037037
59,BR1,2004-12-01,287564.3623188406
60,BR1,2005-01-01,261423.34615384616
61,BR1,2005-02-01,247524.90740740742
62,BR1,2005-03-01,283277.1666666667
63,BR1,2005-04-01,281270.5402298851
64,BR1,2005-05-01,265337.1830985916
65,BR1,2005-06-01,282243.1789473684
66,BR1,2005-07-01,259206.36231884058
67,BR1,2005-08-01,320369.0294117647
68,BR1,2005-09-01,276905.26666666666
69,BR1,2005-10-01,321498.4794520548
70,BR1,2005-11-01,297874.6478873239
71,BR1,2005-12-01,293886.41891891893
72,BR1,2006-01-01,291997.2413793103
73,BR1,2006-02-01,329878.3623188406
74,BR1,2006-03-01,297222.8832116788
75,BR1,2006-04-01,306893.488372093
76,BR1,2006-05-01,287271.93902439025
77,BR1,2006-06-01,288690.4265734266
78,BR1,2006-07-01,290934.1570247934
79,BR1,2006-08-01,286505.1074380165
80,BR1,2006-09-01,316927.22222222225
81,BR1,2006-10-01,275946.3402061856
82,BR1,2006-11-01,345165.7254901961
83,BR1,2006-12-01,306402.28155339806
84,BR1,2007-01-01,293449.75
85,BR1,2007-02-01,340648.3925233645
86,BR1,2007-03-01,309544.6506024096
87,BR1,2007-04-01,327813.5227272727
88,BR1,2007-05-01,330228.6956521739
89,BR1,2007-06-01,359847.52475247526
90,BR1,2007-07-01,354499.78350515466
91,BR1,2007-08-01,318477.33644859813
92,BR1,2007-09-01,292867.6923076923
93,BR1,2007-10-01,389583.5294117647
94,BR1,2007-11-01,360293.8113207547
95,BR1,2007-12-01,363414.6626506024
96,BR1,2008-01-01,326332.125
97,BR1,2008-02-01,309108.2926829268
98,BR1,2008-03-01,393425.74074074073
99,BR1,2008-04-01,372745.0961538461
100,BR1,2008-05-01,292998.47826086957
101,BR1,2008-06-01,307492.03125
102,BR1,2008-07-01,307412.5
103,BR1,2008-08-01,397486.88095238095
104,BR1,2008-09-01,349712.5
105,BR1,2008-10-01,332913.2413793103
106,BR1,2008-11-01,343538.5135135135
107,BR1,2008-12-01,257520.83333333334
108,BR1,2009-01-01,281259.2380952381
109,BR1,2009-02-01,419906.25
110,BR1,2009-03-01,338406.94444444444
111,BR1,2009-04-01,343229.46153846156
112,BR1,2009-05-01,296453.125
113,BR1,2009-06-01,326314.10256410256
114,BR1,2009-07-01,330248.9583333333
115,BR1,2009-08-01,295442.17391304346
116,BR1,2009-09-01,296028.9298245614
117,BR1,2009-10-01,348036.49253731343
118,BR1,2009-11-01,339298.1690140845
119,BR1,2009-12-01,263836.90476190473
120,BR1,2010-01-01,335982.38095238095
121,BR1,2010-02-01,373946.25
122,BR1,2010-03-01,355921.1111111111
123,BR1,2010-04-01,330052.9285714286
124,BR1,2010-05-01,334203.9655172414
125,BR1,2010-06-01,373430.71428571426
126,BR1,2010-07-01,365464.7727272727
127,BR1,2010-08-01,380782.6923076923
128,BR1,2010-09-01,412407.35294117645
129,BR1,2010-10-01,307072.7027027027
130,BR1,2010-11-01,322668.15789473685
131,BR1,2010-12-01,358983.8048780488
132,BR1,2011-01-01,338269.53125
133,BR1,2011-02-01,340284.5294117647
134,BR1,2011-03-01,332424.23076923075
135,BR1,2011-04-01,323861.7021276596
136,BR1,2011-05-01,337538.04761904763
137,BR1,2011-06-01,369800.9090909091
138,BR1,2011-07-01,354109.2708333333
139,BR1,2011-08-01,403332.56603773584
140,BR1,2011-09-01,364972.7192982456
141,BR1,2011-10-01,414897.7272727273
142,BR1,2011-11-01,380256.0975609756
143,BR1,2011-12-01,416707.2916666667
144,BR1,2012-01-01,345348.6842105263
145,BR1,2012-02-01,313172.7272727273
146,BR1,2012-03-01,324430.58666666667
147,BR1,2012-04-01,300614.28571428574
148,BR1,2012-05-01,332641.8163265306
149,BR1,2012-06-01,374347.87234042556
150,BR1,2012-07-01,400866.6666666667
151,BR1,2012-08-01,373665.4761904762
152,BR1,2012-09-01,309388.1818181818
153,BR1,2012-10-01,326372.45098039217
154,BR1,2012-11-01,370907.98214285716
155,BR1,2012-12-01,344142.5319148936
156,BR1,2013-01-01,404173.8541666667
157,BR1,2013-02-01,319828.29545454547
158,BR1,2013-03-01,404771.1111111111
159,BR1,2013-04-01,392286.2916666667
160,BR1,2013-05-01,346901.54098360654
161,BR1,2013-06-01,365398.28571428574
162,BR1,2013-07-01,362226.31481481483
163,BR1,2013-08-01,365085.26666666666
164,BR1,2013-09-01,367546.2727272727
165,BR1,2013-10-01,383370.56451612903
166,BR1,2013-11-01,358093.24324324325
167,BR1,2013-12-01,509422.390625
168,BR1,2014-01-01,400852.63513513515
169,BR1,2014-02-01,411701.3918918919
170,BR1,2014-03-01,411627.20588235295
171,BR1,2014-04-01,340735.5873015873
172,BR1,2014-05-01,387576.7419354839
173,BR1,2014-06-01,471861.703125
174,BR1,2014-07-01,477362.7088607595
175,BR1,2014-08-01,437038.75
176,BR1,2014-09-01,408796.65079365077
177,BR1,2014-10-01,433587.62790697673
178,BR1,2014-11-01,517388.4929577465
179,BR1,2014-12-01,466852.85294117645
180,BR1,2015-01-01,414565.8108108108
181,BR1,2015-02-01,445752.12328767125
182,BR1,2015-03-01,378455.1509433962
183,BR1,2015-04-01,479481.0294117647
184,BR1,2015-05-01,479050.74074074073
185,BR1,2015-06-01,526265.5479452055
186,BR1,2015-07-01,450403.24675324676
187,BR1,2015-08-01,534973.6666666666
188,BR1,2015-09-01,446723.8378378378
189,BR1,2015-10-01,442565.60714285716
190,BR1,2015-11-01,434799.43037974683
191,BR1,2015-12-01,498660.9868421053
192,BR1,2016-01-01,475579.2073170732
193,BR1,2016-02-01,572063.5576923077
194,BR1,2016-03-01,536297.4526315789
195,BR1,2016-04-01,445893.7068965517
196,BR1,2016-05-01,488993.55384615384
197,BR1,2016-06-01,554922.0
198,BR1,2016-07-01,524490.0
199,BR1,2016-08-01,479752.1320754717
200,BR1,2016-09-01,542243.775510204
201,BR1,2016-10-01,539870.2272727273
202,BR1,2016-11-01,520614.625
203,BR1,2016-12-01,450472.22222222225
204,BR1,2017-01-01,659870.6896551724
205,BR1,2017-02-01,465637.2549019608
206,BR1,2017-03-01,526869.6153846154
207,BR1,2017-04-01,478475.60975609755
208,BR1,2017-05-01,507756.7105263158
209,BR1,2017-06-01,609875.5512820513
210,BR1,2017-07-01,555073.3333333334
211,BR1,2017-08-01,481059.05555555556
212,BR1,2017-09-01,540035.75
213,BR1,2017-10-01,607629.9
214,BR1,2017-11-01,540541.5833333334
215,BR1,2017-12-01,577826.9230769231
216,BR1,2018-01-01,507975.4651162791
217,BR1,2018-02-01,465039.62264150946
218,BR1,2018-03-01,560522.641509434
219,BR1,2018-04-01,599696.4285714285
220,BR1,2018-05-01,563075.5094339623
221,BR1,2018-06-01,514515.3409090909
222,BR1,2018-07-01,543801.8181818182
223,BR1,2018-08-01,430480.4347826087
224,BR1,2018-09-01,535469.1351351351
225,BR1,2018-10-01,629132.2727272727
226,BR1,2018-11-01,664905.3191489362
227,BR1,2018-12-01,578312.5
228,BR1,2019-01-01,599659.5744680851
229,BR1,2019-02-01,545483.3333333334
230,BR1,2019-03-01,499744.18604651163
231,BR1,2019-04-01,481900.9111111111
232,BR1,2019-05-01,579792.358490566
233,BR1,2019-06-01,510010.1836734694
234,BR1,2019-07-01,452129.04761904763
235,BR1,2019-08-01,508722.75384615385
236,BR1,2019-09-01,516338.8679245283
237,BR1,2019-10-01,529630.3260869565
238,BR1,2019-11-01,522166.3461538461
