,Zip,5_year_Low_price,5_year_mid_price,5_year_high_price,low_ror_%,mid_ror_%,high_ror_%
0,BR1,549279.0,756319.0,963360.0,-7.95,23.71,53.91
1,BR2,405606.0,648149.0,890693.0,-22.38,20.75,61.66
2,BR3,454493.0,621889.0,789285.0,-15.42,13.71,41.84
3,BR4,457046.0,698053.0,939059.0,-18.72,19.04,53.81
4,BR5,473077.0,621738.0,770399.0,3.32,33.14,61.82
5,BR6,504773.0,706928.0,909083.0,-8.37,25.43,57.76
6,BR7,471724.0,768491.0,1065257.0,-27.66,13.72,52.31
10,CR0,364496.0,516969.0,669441.0,-10.85,24.46,58.67
11,CR2,453648.0,608585.0,763522.0,-4.58,25.54,54.52
12,CR3,299270.0,529690.0,760110.0,-35.63,10.69,54.44
13,CR4,145564.0,361796.0,578029.0,-51.07,15.13,74.65
14,CR5,441782.0,632496.0,823211.0,-15.52,18.24,50.52
16,CR7,376050.0,478941.0,581832.0,-0.33,24.59,48.6
17,CR8,352725.0,615094.0,877463.0,-41.62,-1.37,36.45
19,DA1,233418.0,335024.0,436630.0,-19.54,11.94,41.53
20,DA14,425002.0,569674.0,714346.0,-0.52,29.98,59.0
21,DA15,414948.0,570159.0,725370.0,-6.09,26.55,57.96
22,DA16,373734.0,503372.0,633010.0,-6.88,23.57,53.12
23,DA17,285096.0,378661.0,472226.0,-9.92,16.86,42.42
25,DA5,415209.0,565694.0,716179.0,-13.15,15.7,43.3
26,DA6,476399.0,629126.0,781853.0,1.87,30.81,58.19
27,DA7,392161.0,495893.0,599625.0,-3.55,20.29,43.49
28,DA8,274693.0,400958.0,527223.0,-15.56,20.47,54.91
29,E1,258143.0,490705.0,723267.0,-52.88,-13.4,23.53
30,E10,441156.0,588475.0,735795.0,-5.14,23.07,49.78
31,E11,541134.0,712455.0,883777.0,-3.65,24.4,51.4
32,E12,483768.0,615813.0,747858.0,2.67,27.39,50.89
33,E13,394352.0,494678.0,595003.0,2.02,25.32,47.67
34,E14,727045.0,970307.0,1213569.0,17.51,54.29,89.89
35,E15,400857.0,524363.0,647869.0,-8.64,16.78,41.05
36,E16,446587.0,573985.0,701382.0,-7.15,16.97,40.15
37,E17,513880.0,681919.0,849957.0,-0.5,30.42,60.6
38,E18,429139.0,606968.0,784797.0,-16.25,15.1,44.72
39,E1W,411335.0,739496.0,1067658.0,-36.47,9.04,50.61
40,E2,525346.0,686215.0,847084.0,-8.06,17.0,40.8
42,E3,447747.0,599225.0,750703.0,-10.44,17.15,43.52
43,E4,498391.0,621426.0,744462.0,5.55,29.7,53.17
44,E5,691877.0,841308.0,990740.0,4.07,24.11,43.4
45,E6,403047.0,587364.0,771682.0,-0.92,41.73,82.84
46,E7,417528.0,525921.0,634314.0,-4.44,17.66,38.79
47,E8,655218.0,849198.0,1043177.0,-5.49,18.88,41.85
48,E9,592044.0,744693.0,897342.0,-1.43,20.82,41.96
49,EC1A,1398513.0,1794173.0,2189834.0,37.76,65.94,90.87
51,EC1N,549453.0,974313.0,1399174.0,-30.07,16.22,57.05
